place_code,country_code,active,latin_name
GB92,GBR,false,Caithness
GB93,GBR,false,Fair Isle
GB94,GBR,false,Inverness
GB95,GBR,false,Orkney
GB96,GBR,false,Outer Hebrides
GB97,GBR,false,Ross & Cromarty
GB98,GBR,false,Shetland
GB99,GBR,false,Sutherland
GBAB,GBR,true,Aberdeen
GBAG,GBR,true,Angus
GBAN,GBR,true,Isle of Anglesey
GBAR,GBR,true,Argyll and Bute
GBAS,GBR,true,Aberdeenshire
GBAV,GBR,false,Avon
GBAY,GBR,true,South Ayrshire
GBBA,GBR,true,Bath and N. E. Somerset
GBBB,GBR,true,Blackburn with Darwen
GBBC,GBR,false,Buckingham
GBBD,GBR,false,Bedfordshire
GBBE,GBR,true,Bedfordshire
GBBF,GBR,true,Bracknell Forest
GBBG,GBR,true,Bridgend
GBBH,GBR,true,Bournemouth
GBBK,GBR,false,Berkshire
GBBN,GBR,true,Brighton & Hove
GBBP,GBR,true,Blackpool
GBBR,GBR,true,Scottish Borders
GBBS,GBR,true,Bristol
GBBU,GBR,true,Buckinghamshire
GBBW,GBR,true,Blaenau Gwent
GBCA,GBR,false,Cambridge & Huntingdon
GBCB,GBR,true,Cambridgeshire
GBCE,GBR,true,Ceredigion
GBCF,GBR,true,Cardiff
GBCH,GBR,false,Cheshire
GBCK,GBR,true,Clackmannanshire
GBCM,GBR,true,Carmarthenshire
GBCN,GBR,true,Conwy
GBCO,GBR,true,Cornwall
GBCP,GBR,true,Caerphilly
GBCR,GBR,false,Central Region
GBCS,GBR,true,Cheshire
GBCU,GBR,true,Cumbria
GBCV,GBR,false,Cleveland
GBCW,GBR,false,Clwyd
GBDB,GBR,false,Derby
GBDD,GBR,true,Dundee
GBDE,GBR,true,Derby
GBDH,GBR,true,Durham
GBDI,GBR,true,Denbighshire
GBDL,GBR,true,Darlington
GBDN,GBR,true,Devon
GBDO,GBR,false,Dorset
GBDR,GBR,true,Dumfries & Galloway
GBDS,GBR,true,Derbyshire
GBDT,GBR,true,Dorset
GBDU,GBR,false,Durham
GBDV,GBR,false,Devon
GBDY,GBR,false,Dyfed
GBE-,GBR,true,England
GBEA,GBR,true,East Ayrshire
GBED,GBR,true,East Dunbartonshire
GBEH,GBR,true,Edinburgh
GBEL,GBR,true,East Lothian
GBER,GBR,true,East Renfrewshire
GBES,GBR,false,Essex
GBEX,GBR,true,Essex
GBEY,GBR,true,East Riding of Yorkshire
GBFI,GBR,false,Fair Isle
GBFK,GBR,true,Falkirk
GBFL,GBR,true,Flintshire
GBFR,GBR,true,Fife
GBGD,GBR,false,Gwynedd
GBGG,GBR,true,Glasgow
GBGL,GBR,true,Gloucestershire
GBGM,GBR,false,Glamorgan
GBGR,GBR,false,Grampian Region
GBGS,GBR,true,South Gloucestershire
GBGT,GBR,false,Gwent
GBGW,GBR,true,Gwynedd
GBHA,GBR,false,Hampshire
GBHE,GBR,true,Herefordshire
GBHF,GBR,false,Hereford & Worcs.
GBHL,GBR,true,Halton
GBHM,GBR,true,Hampshire
GBHP,GBR,true,Hartlepool
GBHR,GBR,true,Highland
GBHT,GBR,true,Hertfordshire
GBHU,GBR,false,Humberside
GBIC,GBR,true,Inverclyde
GBIM,GBR,true,Isle of Man
GBIW,GBR,true,Isle of Wight
GBKE,GBR,false,Kent
GBKH,GBR,true,Kingston upon Hull
GBKN,GBR,true,Kent
GBLA,GBR,false,Lancashire
GBLC,GBR,true,Lancashire
GBLE,GBR,false,Leicester & Rutland
GBLH,GBR,true,South Lanarkshire
GBLI,GBR,true,Lincolnshire
GBLK,GBR,true,North Lanarkshire
GBLN,GBR,true,North Lincolnshire
GBLO,GBR,true,Greater London
GBLR,GBR,false,Lothian Region
GBLS,GBR,true,Leicestershire
GBLT,GBR,true,Leicester
GBLU,GBR,true,Luton
GBMA,GBR,true,Greater Manchester
GBMB,GBR,true,Middlesbrough
GBME,GBR,true,Merseyside
GBMK,GBR,true,Milton Keynes
GBML,GBR,true,Midlothian
GBMN,GBR,true,Monmouthshire
GBMO,GBR,true,Moray
GBMT,GBR,true,Merthyr Tydfil
GBMW,GBR,true,Medway
GBNA,GBR,true,North Ayrshire
GBNE,GBR,true,North East Lincolnshire
GBNG,GBR,true,Nottingham
GBNH,GBR,true,Northamptonshire
GBNK,GBR,true,Norfolk
GBNL,GBR,true,Northumberland
GBNO,GBR,true,North Yorkshire
GBNP,GBR,true,Newport
GBNR,GBR,true,North Somerset
GBNS,GBR,true,Nottinghamshire
GBNT,GBR,false,Nottinghamshire
GBNY,GBR,false,North Yorkshire
GBOR,GBR,true,Orkney
GBOX,GBR,true,Oxfordshire
GBPB,GBR,true,Pembrokeshire
GBPE,GBR,true,Peterborough
GBPH,GBR,true,Perth & Kinross
GBPL,GBR,true,Plymouth
GBPM,GBR,true,Portsmouth
GBPO,GBR,false,Powys
GBPP,GBR,true,Poole
GBPT,GBR,true,Neath and Port Talbot
GBPW,GBR,true,Powys
GBRC,GBR,true,Redcar & Cleveland
GBRE,GBR,true,Renfrewshire
GBRG,GBR,true,Reading
GBRH,GBR,true,Rhondda Cynon Taff
GBRU,GBR,true,Rutland
GBS-,GBR,true,Scotland
GBSA,GBR,false,Salop
GBSC,GBR,false,Strathclyde Region
GBSE,GBR,true,Stoke-on-Trent
GBSF,GBR,true,Staffordshire
GBSG,GBR,true,Stirling
